meeting_id,race_id,race_date,track,race_time,race_class,race_distance,race_prizes,position,trap,dog_id,dog_name,trainer,comments,starting_price,time_s,time_distance,birth_date,weight,color,sire,dam,breeding_info,race_url
360673,623973,Saturday 15th February 2020,Henlow,18:18,A10,460m,1st £100 | Others £40 | Race Total £300,1st,5,529754,How Ye Hilda,J M Ray,"MidTW,Ld 1/2",1/1F,04.01,30.51 (HD),Apr-2018,28.1,b - bk,Jaytee Jet,How Ye Now,Apr-2018 | 28.1 | b - bk | Jaytee Jet - How Ye Now,https://www.gbgb.org.uk/meeting/?meetingId=360673&raceId=623973
360673,623973,Saturday 15th February 2020,Henlow,18:18,A10,460m,1st £100 | Others £40 | Race Total £300,2nd,4,508673,Touchedbyanangel,R W Liddington,"Mid,ChlRnIn",20/1,04.04,30.53 (HD),May-2016,35.2,b - be,Scolari Me Daddy,Kilrara Lizzie,May-2016 | 35.2 | b - be | Scolari Me Daddy - Kilrara Lizzie,https://www.gbgb.org.uk/meeting/?meetingId=360673&raceId=623973
360673,623973,Saturday 15th February 2020,Henlow,18:18,A10,460m,1st £100 | Others £40 | Race Total £300,3rd,2,507623,Savana Glib,J M Ray,"Rls,LdT 1/2",7/2,03.88,31.12 (7 1/2),Apr-2016,35.8,d - bk,Superior Product,Abeba,Apr-2016 | 35.8 | d - bk | Superior Product - Abeba,https://www.gbgb.org.uk/meeting/?meetingId=360673&raceId=623973
360673,623973,Saturday 15th February 2020,Henlow,18:18,A10,460m,1st £100 | Others £40 | Race Total £300,4th,3,535740,Empire King,V A Lea,"MidTRls,SAw",15/8,04.11,31.26 (1 3/4),Aug-2018,32.5,d - bk,Kinloch Brae,Steponitstacey,Aug-2018 | 32.5 | d - bk | Kinloch Brae - Steponitstacey,https://www.gbgb.org.uk/meeting/?meetingId=360673&raceId=623973
360673,623973,Saturday 15th February 2020,Henlow,18:18,A10,460m,1st £100 | Others £40 | Race Total £300,5th,1,533804,Dance Amy,G E Elwell,"Rls,SAw",6/1,04.13,31.27 (SH),Aug-2018,23.8,b - bk,Laughil Duke,Dance Melissa,Aug-2018 | 23.8 | b - bk | Laughil Duke - Dance Melissa,https://www.gbgb.org.uk/meeting/?meetingId=360673&raceId=623973
360985,626814,Monday 24th February 2020,Henlow,11:39,A10,460m,1st £100 | Others £40 | Race Total £300,1st,6,510480,Rui Dragon,P J Manley,"SnLd,LftClr",5/1,03.92,28.86 (11 3/4),Oct-2015,31.1,d - bk,Ballymac Eske,Snug Star,Oct-2015 | 31.1 | d - bk | Ballymac Eske - Snug Star,https://www.gbgb.org.uk/meeting/?meetingId=360985&raceId=626814
360985,626814,Monday 24th February 2020,Henlow,11:39,A10,460m,1st £100 | Others £40 | Race Total £300,2nd,5,494980,Sporting Lady,B Green,Bmp1,8/1,04.00,29.80 (11 3/4),Dec-2015,27.0,b - wbe,Scolari Me Daddy,Plutos Rena,Dec-2015 | 27.0 | b - wbe | Scolari Me Daddy - Plutos Rena,https://www.gbgb.org.uk/meeting/?meetingId=360985&raceId=626814
360985,626814,Monday 24th February 2020,Henlow,11:39,A10,460m,1st £100 | Others £40 | Race Total £300,3rd,3,535740,Empire King,V A Lea,"SAw,Bmp1",3/1,04.01,29.83 (NK),Aug-2018,32.4,d - bk,Kinloch Brae,Steponitstacey,Aug-2018 | 32.4 | d - bk | Kinloch Brae - Steponitstacey,https://www.gbgb.org.uk/meeting/?meetingId=360985&raceId=626814
360985,626814,Monday 24th February 2020,Henlow,11:39,A10,460m,1st £100 | Others £40 | Race Total £300,4th,1,527338,Our Angel Eyes,G E Elwell,"MidTRls,Bmp1",7/4F,03.99,29.95 (1 1/2),Jan-2018,27.1,b - be,Droopys Nidge,Gotoon Nancy,Jan-2018 | 27.1 | b - be | Droopys Nidge - Gotoon Nancy,https://www.gbgb.org.uk/meeting/?meetingId=360985&raceId=626814
360985,626814,Monday 24th February 2020,Henlow,11:39,A10,460m,1st £100 | Others £40 | Race Total £300,5th,4,528660,Only One Jota,J M Ray,"Rls&BmpStart,Bmp1",5/1,04.03,30.40 (5 3/4),Dec-2017,33.6,d - bk,Kisses For Cloda,Kathleens Rabbo,Dec-2017 | 33.6 | d - bk | Kisses For Cloda - Kathleens Rabbo,https://www.gbgb.org.uk/meeting/?meetingId=360985&raceId=626814
360985,626814,Monday 24th February 2020,Henlow,11:39,A10,460m,1st £100 | Others £40 | Race Total £300,6th,2,514653,Mustang Happy,J Blunt,BmpStart&1&2&4,4/1,04.02,30.44 (1/2),Dec-2016,29.1,b - bk,Fabregas,Global Queen,Dec-2016 | 29.1 | b - bk | Fabregas - Global Queen,https://www.gbgb.org.uk/meeting/?meetingId=360985&raceId=626814
361045,627515,Friday 28th February 2020,Henlow,08:27,A10,460m,1st £100 | Others £40 | Race Total £300,1st,6,523465,Demolition Dolly,J M Ray,Ld 3/4,9/4F,03.96,29.05 (1 3/4),Sep-2017,27.0,b - bd,Droopys Jet,Letmebelucky,Sep-2017 | 27.0 | b - bd | Droopys Jet - Letmebelucky,https://www.gbgb.org.uk/meeting/?meetingId=361045&raceId=627515
361045,627515,Friday 28th February 2020,Henlow,08:27,A10,460m,1st £100 | Others £40 | Race Total £300,2nd,4,535740,Empire King,V A Lea,LdT 3/4,7/2,03.94,29.18 (1 3/4),Aug-2018,32.6,d - bk,Kinloch Brae,Steponitstacey,Aug-2018 | 32.6 | d - bk | Kinloch Brae - Steponitstacey,https://www.gbgb.org.uk/meeting/?meetingId=361045&raceId=627515
361045,627515,Friday 28th February 2020,Henlow,08:27,A10,460m,1st £100 | Others £40 | Race Total £300,3rd,3,527398,Fieldview Chief,T J Nevin,Crd 1/2,5/2,03.98,29.60 (5 1/4),Jan-2018,29.1,d - wbk,Droopys Nidge,Gotoon Nancy,Jan-2018 | 29.1 | d - wbk | Droopys Nidge - Gotoon Nancy,https://www.gbgb.org.uk/meeting/?meetingId=361045&raceId=627515
361045,627515,Friday 28th February 2020,Henlow,08:27,A10,460m,1st £100 | Others £40 | Race Total £300,4th,5,513608,Debbie Jezabelle,K C Robins,"VSAw,Crd 1/2& 3/4",12/1,04.14,29.68 (1),Mar-2017,25.7,b - bk,Head Bound,Santas Sapphire,Mar-2017 | 25.7 | b - bk | Head Bound - Santas Sapphire,https://www.gbgb.org.uk/meeting/?meetingId=361045&raceId=627515
361045,627515,Friday 28th February 2020,Henlow,08:27,A10,460m,1st £100 | Others £40 | Race Total £300,5th,2,527338,Our Angel Eyes,G E Elwell,"SAw,Crd 3/4",3/1,04.00,29.78 (1 1/4),Jan-2018,27.0,b - be,Droopys Nidge,Gotoon Nancy,Jan-2018 | 27.0 | b - be | Droopys Nidge - Gotoon Nancy,https://www.gbgb.org.uk/meeting/?meetingId=361045&raceId=627515
361045,627515,Friday 28th February 2020,Henlow,08:27,A10,460m,1st £100 | Others £40 | Race Total £300,6th,1,517130,Droopys Luca,F J Gray,"VSAw,Crd 1/2& 3/4",7/1,04.09,30.05 (3 1/2),May-2017,29.7,d - bkw,Quietly,Mutual Dilemma,May-2017 | 29.7 | d - bkw | Quietly - Mutual Dilemma,https://www.gbgb.org.uk/meeting/?meetingId=361045&raceId=627515
361221,629111,Tuesday 3rd March 2020,Henlow,08:43,A10,460m,1st £100 | Others £40 | Race Total £300,1st,2,535740,Empire King,V A Lea,"EP,MidTRls,SnLd,Styd",5/4F,03.87,28.82 (5 1/2),Aug-2018,32.6,d - bk,Kinloch Brae,Steponitstacey,Aug-2018 | 32.6 | d - bk | Kinloch Brae - Steponitstacey,https://www.gbgb.org.uk/meeting/?meetingId=361221&raceId=629111
361221,629111,Tuesday 3rd March 2020,Henlow,08:43,A10,460m,1st £100 | Others £40 | Race Total £300,2nd,1,527042,Bobs Duke,M A Wallis,Chl 1/2,7/2,03.96,29.25 (5 1/2),Sep-2017,32.0,d - bd,Adageo Bob,Fairest Royal,Sep-2017 | 32.0 | d - bd | Adageo Bob - Fairest Royal,https://www.gbgb.org.uk/meeting/?meetingId=361221&raceId=629111
361221,629111,Tuesday 3rd March 2020,Henlow,08:43,A10,460m,1st £100 | Others £40 | Race Total £300,3rd,5,529754,How Ye Hilda,J M Ray,StydOn,5/2,03.95,29.35 (1 1/4),Apr-2018,29.0,b - bk,Jaytee Jet,How Ye Now,Apr-2018 | 29.0 | b - bk | Jaytee Jet - How Ye Now,https://www.gbgb.org.uk/meeting/?meetingId=361221&raceId=629111
361221,629111,Tuesday 3rd March 2020,Henlow,08:43,A10,460m,1st £100 | Others £40 | Race Total £300,4th,3,513608,Debbie Jezabelle,K C Robins,"VSAw,Crd 1/2",8/1,04.06,29.46 (1 1/2),Mar-2017,25.6,b - bk,Head Bound,Santas Sapphire,Mar-2017 | 25.6 | b - bk | Head Bound - Santas Sapphire,https://www.gbgb.org.uk/meeting/?meetingId=361221&raceId=629111
361221,629111,Tuesday 3rd March 2020,Henlow,08:43,A10,460m,1st £100 | Others £40 | Race Total £300,5th,4,532597,Hack Up Robin,J M Ray,"BmpStt,Crd 1/2",10/1,04.09,29.90 (5 1/2),Jan-2018,30.8,b - bk,Sparta Maestro,Expert Jess,Jan-2018 | 30.8 | b - bk | Sparta Maestro - Expert Jess,https://www.gbgb.org.uk/meeting/?meetingId=361221&raceId=629111
361221,629111,Tuesday 3rd March 2020,Henlow,08:43,A10,460m,1st £100 | Others £40 | Race Total £300,6th,6,483877,Pennys Twitch,G E Elwell,VSAw,8/1,04.07,30.01 (1 1/2),Mar-2015,28.3,b - bd,Deanridge Viking,Pennys Mrsturpin,Mar-2015 | 28.3 | b - bd | Deanridge Viking - Pennys Mrsturpin,https://www.gbgb.org.uk/meeting/?meetingId=361221&raceId=629111
361486,631392,Tuesday 10th March 2020,Henlow,09:52,A8,460m,1st £110 | Others £40 | Race Total £310,1st,4,531708,Quivers Dreamer,K C Robins,"MidTW,Ld1",5/1,03.86,28.86 (2 1/4),Jul-2018,28.8,b - bkw,Droopys Jet,Quivershillcroft,Jul-2018 | 28.8 | b - bkw | Droopys Jet - Quivershillcroft,https://www.gbgb.org.uk/meeting/?meetingId=361486&raceId=631392
361486,631392,Tuesday 10th March 2020,Henlow,09:52,A8,460m,1st £110 | Others £40 | Race Total £310,2nd,5,514402,Liosgarbh Cahy,G E Elwell,ClrRun,4/1,03.87,29.04 (2 1/4),Nov-2016,32.9,d - bk,Corporate Attack,Liosgarbh Penny,Nov-2016 | 32.9 | d - bk | Corporate Attack - Liosgarbh Penny,https://www.gbgb.org.uk/meeting/?meetingId=361486&raceId=631392
361486,631392,Tuesday 10th March 2020,Henlow,09:52,A8,460m,1st £110 | Others £40 | Race Total £310,3rd,6,503083,Savana Jody,M E Westwood,"EP,Chl2-3",8/1,03.84,29.40 (4 1/2),Sep-2015,28.1,b - bk,Money Talks,Jaytee Monroe,Sep-2015 | 28.1 | b - bk | Money Talks - Jaytee Monroe,https://www.gbgb.org.uk/meeting/?meetingId=361486&raceId=631392
361486,631392,Tuesday 10th March 2020,Henlow,09:52,A8,460m,1st £110 | Others £40 | Race Total £310,4th,1,518051,Fieldview Sky,T J Nevin,Crd1,4/1,03.91,29.54 (1 3/4),Jun-2017,26.0,b - bk,Skywalker Puma,Chocolate Chip,Jun-2017 | 26.0 | b - bk | Skywalker Puma - Chocolate Chip,https://www.gbgb.org.uk/meeting/?meetingId=361486&raceId=631392
361486,631392,Tuesday 10th March 2020,Henlow,09:52,A8,460m,1st £110 | Others £40 | Race Total £310,5th,2,535770,San Fran Niamh,V A Lea,Crd1&2,2/1F,03.92,29.85 (4),Aug-2018,30.0,b - bd,Superior Product,Footfield Dory,Aug-2018 | 30.0 | b - bd | Superior Product - Footfield Dory,https://www.gbgb.org.uk/meeting/?meetingId=361486&raceId=631392
361486,631392,Tuesday 10th March 2020,Henlow,09:52,A8,460m,1st £110 | Others £40 | Race Total £310,6th,3,535740,Empire King,V A Lea,Crd1&2,3/1,03.89,29.86 (SH),Aug-2018,32.5,d - bk,Kinloch Brae,Steponitstacey,Aug-2018 | 32.5 | d - bk | Kinloch Brae - Steponitstacey,https://www.gbgb.org.uk/meeting/?meetingId=361486&raceId=631392
