meeting_id,race_id,race_date,track,race_time,race_class,race_distance,race_prizes,position,trap,dog_id,dog_name,trainer,comments,starting_price,time_s,time_distance,birth_date,weight,color,sire,dam,breeding_info,race_url,odds_ratio,time_seconds,primary_color,weight_kg,trap_numeric,distance_meters,comment_early_pace,comment_led,comment_crowded,comment_strong_finish,comment_middle_runner,comment_rails_runner,comment_wide_runner,dist_range_0_300m,dist_range_301_500m,dist_range_501_700m,dist_range_701_1000m,age_at_race,trap_track_bias
360673,623973,Saturday 15th February 2020,Henlow,18:18,A10,460m,1st £100 | Others £40 | Race Total £300,1st,5,529754,How Ye Hilda,J M Ray,"MidTW,Ld 1/2",1/1F,04.01,30.51 (HD),Apr-2018,28.1,b - bk,Jaytee Jet,How Ye Now,Apr-2018 | 28.1 | b - bk | Jaytee Jet - How Ye Now,https://www.gbgb.org.uk/meeting/?meetingId=360673&raceId=623973,2.0,4.01,bk,28.1,5,460,0,0,0,0,0,0,0,0,1,0,0,3.0,0.15
360673,623973,Saturday 15th February 2020,Henlow,18:18,A10,460m,1st £100 | Others £40 | Race Total £300,2nd,4,508673,Touchedbyanangel,R W Liddington,"Mid,ChlRnIn",20/1,04.04,30.53 (HD),May-2016,35.2,b - be,Scolari Me Daddy,Kilrara Lizzie,May-2016 | 35.2 | b - be | Scolari Me Daddy - Kilrara Lizzie,https://www.gbgb.org.uk/meeting/?meetingId=360673&raceId=623973,21.0,4.04,be,35.2,4,460,0,0,0,0,0,0,0,0,1,0,0,3.0,0.15
360673,623973,Saturday 15th February 2020,Henlow,18:18,A10,460m,1st £100 | Others £40 | Race Total £300,3rd,2,507623,Savana Glib,J M Ray,"Rls,LdT 1/2",7/2,03.88,31.12 (7 1/2),Apr-2016,35.8,d - bk,Superior Product,Abeba,Apr-2016 | 35.8 | d - bk | Superior Product - Abeba,https://www.gbgb.org.uk/meeting/?meetingId=360673&raceId=623973,4.5,3.88,bk,35.8,2,460,0,0,0,0,0,0,0,0,1,0,0,3.0,0.15
360673,623973,Saturday 15th February 2020,Henlow,18:18,A10,460m,1st £100 | Others £40 | Race Total £300,4th,3,535740,Empire King,V A Lea,"MidTRls,SAw",15/8,04.11,31.26 (1 3/4),Aug-2018,32.5,d - bk,Kinloch Brae,Steponitstacey,Aug-2018 | 32.5 | d - bk | Kinloch Brae - Steponitstacey,https://www.gbgb.org.uk/meeting/?meetingId=360673&raceId=623973,2.875,4.11,bk,32.5,3,460,0,0,0,0,0,0,0,0,1,0,0,3.0,0.15
360673,623973,Saturday 15th February 2020,Henlow,18:18,A10,460m,1st £100 | Others £40 | Race Total £300,5th,1,533804,Dance Amy,G E Elwell,"Rls,SAw",6/1,04.13,31.27 (SH),Aug-2018,23.8,b - bk,Laughil Duke,Dance Melissa,Aug-2018 | 23.8 | b - bk | Laughil Duke - Dance Melissa,https://www.gbgb.org.uk/meeting/?meetingId=360673&raceId=623973,7.0,4.13,bk,23.8,1,460,0,0,0,0,0,0,0,0,1,0,0,3.0,0.15
360985,626814,Monday 24th February 2020,Henlow,11:39,A10,460m,1st £100 | Others £40 | Race Total £300,1st,6,510480,Rui Dragon,P J Manley,"SnLd,LftClr",5/1,03.92,28.86 (11 3/4),Oct-2015,31.1,d - bk,Ballymac Eske,Snug Star,Oct-2015 | 31.1 | d - bk | Ballymac Eske - Snug Star,https://www.gbgb.org.uk/meeting/?meetingId=360985&raceId=626814,6.0,3.92,bk,31.1,6,460,0,0,0,0,0,0,0,0,1,0,0,3.0,0.15
360985,626814,Monday 24th February 2020,Henlow,11:39,A10,460m,1st £100 | Others £40 | Race Total £300,2nd,5,494980,Sporting Lady,B Green,Bmp1,8/1,04.00,29.80 (11 3/4),Dec-2015,27.0,b - wbe,Scolari Me Daddy,Plutos Rena,Dec-2015 | 27.0 | b - wbe | Scolari Me Daddy - Plutos Rena,https://www.gbgb.org.uk/meeting/?meetingId=360985&raceId=626814,9.0,4.0,be,27.0,5,460,0,0,0,0,0,0,0,0,1,0,0,3.0,0.15
360985,626814,Monday 24th February 2020,Henlow,11:39,A10,460m,1st £100 | Others £40 | Race Total £300,3rd,3,535740,Empire King,V A Lea,"SAw,Bmp1",3/1,04.01,29.83 (NK),Aug-2018,32.4,d - bk,Kinloch Brae,Steponitstacey,Aug-2018 | 32.4 | d - bk | Kinloch Brae - Steponitstacey,https://www.gbgb.org.uk/meeting/?meetingId=360985&raceId=626814,4.0,4.01,bk,32.4,3,460,0,0,0,0,0,0,0,0,1,0,0,3.0,0.15
360985,626814,Monday 24th February 2020,Henlow,11:39,A10,460m,1st £100 | Others £40 | Race Total £300,4th,1,527338,Our Angel Eyes,G E Elwell,"MidTRls,Bmp1",7/4F,03.99,29.95 (1 1/2),Jan-2018,27.1,b - be,Droopys Nidge,Gotoon Nancy,Jan-2018 | 27.1 | b - be | Droopys Nidge - Gotoon Nancy,https://www.gbgb.org.uk/meeting/?meetingId=360985&raceId=626814,2.75,3.99,be,27.1,1,460,0,0,0,0,0,0,0,0,1,0,0,3.0,0.15
360985,626814,Monday 24th February 2020,Henlow,11:39,A10,460m,1st £100 | Others £40 | Race Total £300,5th,4,528660,Only One Jota,J M Ray,"Rls&BmpStart,Bmp1",5/1,04.03,30.40 (5 3/4),Dec-2017,33.6,d - bk,Kisses For Cloda,Kathleens Rabbo,Dec-2017 | 33.6 | d - bk | Kisses For Cloda - Kathleens Rabbo,https://www.gbgb.org.uk/meeting/?meetingId=360985&raceId=626814,6.0,4.03,bk,33.6,4,460,0,0,0,0,0,0,0,0,1,0,0,3.0,0.15
360985,626814,Monday 24th February 2020,Henlow,11:39,A10,460m,1st £100 | Others £40 | Race Total £300,6th,2,514653,Mustang Happy,J Blunt,BmpStart&1&2&4,4/1,04.02,30.44 (1/2),Dec-2016,29.1,b - bk,Fabregas,Global Queen,Dec-2016 | 29.1 | b - bk | Fabregas - Global Queen,https://www.gbgb.org.uk/meeting/?meetingId=360985&raceId=626814,5.0,4.02,bk,29.1,2,460,0,0,0,0,0,0,0,0,1,0,0,3.0,0.15
361045,627515,Friday 28th February 2020,Henlow,08:27,A10,460m,1st £100 | Others £40 | Race Total £300,1st,6,523465,Demolition Dolly,J M Ray,Ld 3/4,9/4F,03.96,29.05 (1 3/4),Sep-2017,27.0,b - bd,Droopys Jet,Letmebelucky,Sep-2017 | 27.0 | b - bd | Droopys Jet - Letmebelucky,https://www.gbgb.org.uk/meeting/?meetingId=361045&raceId=627515,3.25,3.96,bd,27.0,6,460,0,0,0,0,0,0,0,0,1,0,0,3.0,0.15
