dogName,dogId
Buddy Molly,400000
Jaxxy Murlen,400400
Mystic Stroke,401000
Romeo Riptide,401100
Barnish Phil,401200
Watch Kitty,401300
Bellinter George,401500
Gilligan,401700
Exit Milan,401800
Fair Value,401900
Joker Mac,402700
Swords Brett,405000
Tommys Boy,406200
Redley Ruby,406300
Moneygall Fury,406500
Severly Damaged,407500
Jefferson,408600
Roseys Options,409300
Why Sandy,409800
Shaneboy Silas,409900
Early Oscar,410200
Desert Ace,410400
Boherna Rose,410900
Tyrur Micko,411300
Swan Express,411600
Jessica Toogood,412000
Owens Flash,412300
Home Shadow,412400
Afrikaans,412800
Soft Lace,413200
Boynepark Dream,413400
Swift Mango,413600
Cos I Can,413700
Cake Angel,414000
Moonvoy Tiger,414400
Greenlough Tip,414500
Bickerton Nile,414600
Pretty Jessie,414800
Fearsome Class,415400
Tonetta Millie,112600
Drobmur Casleeno,416000
High Cross Stag,416200
Lisbeeboy,416700
Guinness Rock,417900
Hoppatoonatee,418000
Insane Shirl,418600
Tommys First One,418900
Lonely Wind,419000
Swift Nina,419100
Ministry Madam,419600
Heathmill Brae,420400
Ballylaw Freedom,420600
Satin Fleur,421100
Droopys Jason,421300
Captain Kane,421500
Wee Tiger Tots,110735
Dangeray Evie,422100
Compass Ray,422400
Private Chancer,422600
Holdem Ali,423600
Winword Lucky,423700
Bonanza King,424400
Rosanna Mag,424500
Crymeariver,425100
Southoe Storm,425300
Swithin Ace,425500
Fully Confident,425900
The Other Lizzie,426200
Jet Stream Olly,426600
Jumeirah Hondo,426700
Bandicoot Nell,427500
Swift Vanessa,427700
Darraghs Legend,428200
Tony The Hat,428500
Darcey Bluebells,428800
Tick Tock Ben,429100
Tick Tock Minky,429300
Ballymac Ullo,429500
Bomb And Tom,429900
Glenrio,430100
Unlikely Thomas,430600
Jekaterina,430700
Birmo Is Back,430900
Simplifier,431000
Montis Rambo,431400
Be Tricky,432000
Clounamon Queen,102173
Droopys Flash,432400
Aero Jinx,432700
Head Sixpence,432800
Rockstown Peggy,433000
Drumna Duke,433100
Blown Away,433300
Lahana Moll,433500
Zulu Baran,433600
West City Star,105327
Tipperary Nellie,434300
Westminster Lady,434800
Target Merida,100434
Torrent Reel,435200
Mill Pee Eye,435500
Flavel Throstle,435900
Slaneyside Cathy,436000
Droopys Aguero,436100
Haven Mally,436200
Timber Falcon,436300
Tavern Totty,436800
Minnies Trixie,437000
Lissan Lil,437200
Gentle Tommy,437300
Swift Maximus,437400
Burwood Alice,437600
Woodsgift Susie,437700
Clonbonane Sal,438200
Blackrose Amber,438300
Lenson Razldazl,438500
Washingbay Jet,438600
Dorothys Choice,438700
Fabulous Veneta,438800
Cleenas Maj,438900
Turnmoss Tommy,439100
Corleones Connie,439300
Kowloon Jumbo,439700
Kerrylane Prince,439900
Cushie Mabel,440200
Whites Venture,440500
Hot Shot,440800
Horoscope,441100
Ballymac Gigi,441300
Nobby Al Zarooni,441900
Scattery Maeve,442400
Rays Hurricane,442500
Fairhill Sidney,442800
Drumsna Park,443000
Fairymount Fuel,443200
Mercury Lola,443400
Boherash Neil,443500
Who Needs Pace,444800
Bet At It,444900
Drumnabey Miley,445300
Caulry Francis,445500
Smart Lassie,445700
Boyatwelldigger,445800
Widow Twanky,446000
Starshinedakota,446500
Trewmount Ellie,446600
Rattling Along,447000
Winetavern Roxy,447500
Becauseyourmine,447700
Come On Lulu,448500
Upagumtree,448700
Baba Blue,448900
Lodge Boy,449100
Well Tuned,449200
Extra Time,449700
Aintgotataxi,450000
Feagh Flyer,106643
Barnyard Kev,450400
Trapper Paddy,450800
Fabulous Retreat,451000
Hanoras Grace,451200
Brown Bess,451500
Swan Champ,451600
Tyrur Gus,452000
Ballymac Magic,452200
Miny Mo,452300
Droopys Flor,452700
Agincourt Naomi,452900
Ashgrove Borna,453300
Cains Memorie,453400
Coyi,453700
Corfu Ikarus,453900
Leinster Lisa,454000
Express Hammer,454100
Kelva Wilson,454200
Denied,454400
Ribble Aon,454500
Collinstown Mary,454800
Scotchrath Van,455000
Newinn Dolly,455200
Big Black Matt,455400
Lavuelta Bertie,455500
Timaru Surprise,455800
Worsboro Skyfall,455900
Leamaneigh Rook,456000
Never Cry Wolf,456300
Ballymac Cathal,456600
Magical Dougie,456700
Drive On Ruby,456800
In Force,457100
Flycatcher,457200
Have A Deal,457400
Owin,457600
Brookwood Gift,457700
Romeo Assembly,458000
My Girl Sheila,458100
Shanavagh Comet,458200
Doonanes Nibble,458600
Hack Up Starlite,459300
Sarasota Sergey,459800
Geelo Bolt,459900
Offspring Taylor,460000
David Jaxxon,460100
Havana Madhatter,460200
Simon Jaxxon,460700
Suirview Melody,460800
That Man Again,609712
Champagne Jean,461500
Justawin Jess,461600
Creevy Ted,461900
Knockmant Hondo,462700
Corporate Satin,462900
Tarahumara,463300
Mulligans Hill,463400
Budgie Power,463500
Ballyhar Belle,463800
Savana Isla,464300
Our Als Beaker,464500
Adamant Birkita,464700
Magpie Tim,464800
Rock It Colada,464900
Oakvale Jigsaw,468176
Exactly,465100
Ballinakill Post,465300
Farloe Milo,465400
Balmoral Bradley,465500
Cashier,465600
Wilbrook Tina,465900
Creative Thinker,100685
Burgh Legion,466200
Abu,466300
Barefoot Ruler,466400
Mad About Rioga,466700
Bertha Bigun,466800
Coonough Mia,466900
Medlock Millie,467000
Droopys Achieve,102166
Punk Rock Deedee,467600
Ballinulty Star,467700
Kathys No Joke,468100
