meeting_id,race_id,race_date,track,race_time,race_class,race_distance,race_prizes,position,trap,dog_id,dog_name,trainer,comments,starting_price,time_s,time_distance,birth_date,weight,color,sire,dam,breeding_info,race_url
429491,1127998,Saturday 10th May 2025,Towcester,19:28,OR1,500m,1st £300 | Others £60 Race Total £540,1st,1,641631,Rapido Ali,P J Browne,"RlsTMid,EP,Led 1/2",10/3,4.15,28.98 (2 1/4),Nov-2022,29.2,d - bk,Kinloch Brae,Vancouver,Nov-2022 | 29.2 | d - bk | Kinloch Brae - Vancouver,https://www.gbgb.org.uk/meeting/?meetingId=429491&raceId=1127998
429491,1127998,Saturday 10th May 2025,Towcester,19:28,OR1,500m,1st £300 | Others £60 Race Total £540,2nd,6,650981,Ballymac Tibet,L Dowling,"MidTW,SAw",8/11F,4.19,29.17 (2 1/4),Aug-2023,32.8,d - bd,Ballymac Best,Ballymac Minton,Aug-2023 | 32.8 | d - bd | Ballymac Best - Ballymac Minton,https://www.gbgb.org.uk/meeting/?meetingId=429491&raceId=1127998
429491,1127998,Saturday 10th May 2025,Towcester,19:28,OR1,500m,1st £300 | Others £60 Race Total £540,3rd,4,633267,Hurry Up Brendan,J P Lambe,"Mid,VQAw,LedTo 1/2",12/1,4.0,29.39 (2 3/4),Jun-2022,34.8,d - bk,Magical Bale,Congress Sparkle,Jun-2022 | 34.8 | d - bk | Magical Bale - Congress Sparkle,https://www.gbgb.org.uk/meeting/?meetingId=429491&raceId=1127998
429491,1127998,Saturday 10th May 2025,Towcester,19:28,OR1,500m,1st £300 | Others £60 Race Total £540,4th,3,620754,Bombay The Joker,J G Mullins,"MidTRls,EP",10/3,4.11,29.40 (SH),Jan-2021,35.4,d - bk,Ballymac Bolger,Maceske,Jan-2021 | 35.4 | d - bk | Ballymac Bolger - Maceske,https://www.gbgb.org.uk/meeting/?meetingId=429491&raceId=1127998
429886,1129822,Friday 16th May 2025,Towcester,20:39,OR1,500m,1st £300 | Others £75 Race Total £675,1st,1,647943,Romeo Tomcat,P Janssens,"MidTRls,EP,Led1",10/3,4.1,29.02 (5 1/2),Jun-2023,34.7,d - bd,Dorotas Wildcat,Fabulous Spirit,Jun-2023 | 34.7 | d - bd | Dorotas Wildcat - Fabulous Spirit,https://www.gbgb.org.uk/meeting/?meetingId=429886&raceId=1129822
429886,1129822,Friday 16th May 2025,Towcester,20:39,OR1,500m,1st £300 | Others £75 Race Total £675,2nd,2,649902,Arthur Job,P N Godfrey,"RlsTMid,EP,Crd 1/2",22/1,4.22,29.46 (5 1/2),Jul-2023,33.5,d - f,Coolavanny Hoffa,Designer,Jul-2023 | 33.5 | d - f | Coolavanny Hoffa - Designer,https://www.gbgb.org.uk/meeting/?meetingId=429886&raceId=1129822
429886,1129822,Friday 16th May 2025,Towcester,20:39,OR1,500m,1st £300 | Others £75 Race Total £675,3rd,6,650981,Ballymac Tibet,L Dowling,"Mid,Crd1&",8/1,4.11,29.95 (6),Aug-2023,32.5,d - bd,Ballymac Best,Ballymac Minton,Aug-2023 | 32.5 | d - bd | Ballymac Best - Ballymac Minton,https://www.gbgb.org.uk/meeting/?meetingId=429886&raceId=1129822
429886,1129822,Friday 16th May 2025,Towcester,20:39,OR1,500m,1st £300 | Others £75 Race Total £675,4th,3,642488,Proper Heiress,M A Wallis,"RlsTMid,Crd1& 1/2&4",4/9F,4.1,29.97 (HD),Sep-2022,36.2,d - bk,Droopys Sydney,Powerful Mush,Sep-2022 | 36.2 | d - bk | Droopys Sydney - Powerful Mush,https://www.gbgb.org.uk/meeting/?meetingId=429886&raceId=1129822
429886,1129822,Friday 16th May 2025,Towcester,20:39,OR1,500m,1st £300 | Others £75 Race Total £675,5th,5,633267,Hurry Up Brendan,J P Lambe,"Mid,EP,LedToCrd1,Crd4",33/1,4.06,30.11 (1 3/4),Jun-2022,34.7,d - bk,Magical Bale,Congress Sparkle,Jun-2022 | 34.7 | d - bk | Magical Bale - Congress Sparkle,https://www.gbgb.org.uk/meeting/?meetingId=429886&raceId=1129822
429886,1129822,Friday 16th May 2025,Towcester,20:39,OR1,500m,1st £300 | Others £75 Race Total £675,6th,4,640036,Droopys Suprstar,M A Burton,"RlsTMid,SAw,FcdTCk2,Crd4",12/1,4.24,30.33 (2 3/4),Sep-2022,34.5,d - bk,Droopys Sydney,Droopys Isabella,Sep-2022 | 34.5 | d - bk | Droopys Sydney - Droopys Isabella,https://www.gbgb.org.uk/meeting/?meetingId=429886&raceId=1129822
430212,1131522,Saturday 24th May 2025,Towcester,20:22,OR1,500m,1st £500 | Others £100 Race Total £1000,1st,2,648361,Droopys Aladdin,M A Burton,"RlsTMid,QAw,Crd&Led2",11/4,4.02,29.08 (1),Jul-2023,32.3,d - wbk,Serene Ace,Droopys Natalia,Jul-2023 | 32.3 | d - wbk | Serene Ace - Droopys Natalia,https://www.gbgb.org.uk/meeting/?meetingId=430212&raceId=1131522
430212,1131522,Saturday 24th May 2025,Towcester,20:22,OR1,500m,1st £500 | Others £100 Race Total £1000,2nd,5,634741,Keefill Maverick,P Milner,"Mid,VQAw,LdToCrd2",7/2,3.99,29.17 (1),Jul-2022,33.1,d - bkw,Droopys Addition,Tarsna Atalanta,Jul-2022 | 33.1 | d - bkw | Droopys Addition - Tarsna Atalanta,https://www.gbgb.org.uk/meeting/?meetingId=430212&raceId=1131522
430212,1131522,Saturday 24th May 2025,Towcester,20:22,OR1,500m,1st £500 | Others £100 Race Total £1000,3rd,1,636909,Prince Naseem,M L Locke,"RlsTMid,SAw,Crd1,FinWell",5/2F,4.12,29.24 (1),Mar-2022,34.3,d - bk,Droopys Sydney,Razldazl Annie,Mar-2022 | 34.3 | d - bk | Droopys Sydney - Razldazl Annie,https://www.gbgb.org.uk/meeting/?meetingId=430212&raceId=1131522
430212,1131522,Saturday 24th May 2025,Towcester,20:22,OR1,500m,1st £500 | Others £100 Race Total £1000,4th,6,650981,Ballymac Tibet,L Dowling,"Mid,Crd1,RanOn",9/1,4.05,29.34 (1 1/4),Aug-2023,32.4,d - bd,Ballymac Best,Ballymac Minton,Aug-2023 | 32.4 | d - bd | Ballymac Best - Ballymac Minton,https://www.gbgb.org.uk/meeting/?meetingId=430212&raceId=1131522
430212,1131522,Saturday 24th May 2025,Towcester,20:22,OR1,500m,1st £500 | Others £100 Race Total £1000,5th,3,647943,Romeo Tomcat,P Janssens,"MidTRls,SAw,Crd1",7/2,4.09,29.37 (NK),Jun-2023,34.9,d - bd,Dorotas Wildcat,Fabulous Spirit,Jun-2023 | 34.9 | d - bd | Dorotas Wildcat - Fabulous Spirit,https://www.gbgb.org.uk/meeting/?meetingId=430212&raceId=1131522
430212,1131522,Saturday 24th May 2025,Towcester,20:22,OR1,500m,1st £500 | Others £100 Race Total £1000,6th,4,613392,Faypoint Susie,G D Holland,"RlsTMid,EP,Crd1",10/1,4.03,29.56 (2 1/2),Mar-2021,32.7,b - wbebd,Out Of Range ASB,Jasons Perl,Mar-2021 | 32.7 | b - wbebd | Out Of Range ASB - Jasons Perl,https://www.gbgb.org.uk/meeting/?meetingId=430212&raceId=1131522
430522,1133298,Saturday 31st May 2025,Towcester,20:06,OR2,500m,1st £300 | Others £60 Race Total £600,1st,1,643081,Scooby The Boss,N J Hunt,"RlsTMid,EP,Crd1,Led3",2/1,4.12,28.99 (NK),Nov-2022,31.4,d - bk,Ballymac Bolger,Scooby Princess,Nov-2022 | 31.4 | d - bk | Ballymac Bolger - Scooby Princess,https://www.gbgb.org.uk/meeting/?meetingId=430522&raceId=1133298
430522,1133298,Saturday 31st May 2025,Towcester,20:06,OR2,500m,1st £300 | Others £60 Race Total £600,2nd,2,644345,Kilmore Dancer,M A Wallis,"RlsTMid,Crd1,FinWell",13/8F,4.08,29.02 (NK),Nov-2022,33.9,d - bk,Ballymac Bolger,Kilmore Diamond,Nov-2022 | 33.9 | d - bk | Ballymac Bolger - Kilmore Diamond,https://www.gbgb.org.uk/meeting/?meetingId=430522&raceId=1133298
430522,1133298,Saturday 31st May 2025,Towcester,20:06,OR2,500m,1st £300 | Others £60 Race Total £600,3rd,6,650981,Ballymac Tibet,L Dowling,"Mid,SAw,RanOn",3/1,4.16,29.09 (3/4),Aug-2023,32.8,d - bd,Ballymac Best,Ballymac Minton,Aug-2023 | 32.8 | d - bd | Ballymac Best - Ballymac Minton,https://www.gbgb.org.uk/meeting/?meetingId=430522&raceId=1133298
430522,1133298,Saturday 31st May 2025,Towcester,20:06,OR2,500m,1st £300 | Others £60 Race Total £600,4th,3,636932,Salacres Tipster,P H Harnden,"RlsTMid,SAw",25/1,4.16,29.21 (1 1/2),Jul-2022,34.3,d - bk,Ballymac Cashout,Jaytee Pearl,Jul-2022 | 34.3 | d - bk | Ballymac Cashout - Jaytee Pearl,https://www.gbgb.org.uk/meeting/?meetingId=430522&raceId=1133298
430522,1133298,Saturday 31st May 2025,Towcester,20:06,OR2,500m,1st £300 | Others £60 Race Total £600,5th,4,641339,Indian Bonnie,M L Locke,"Mid,Crd1&4",6/1,4.09,29.52 (3 3/4),Nov-2022,35.4,d - bk,Whitewood Lad,Indian Prayer,Nov-2022 | 35.4 | d - bk | Whitewood Lad - Indian Prayer,https://www.gbgb.org.uk/meeting/?meetingId=430522&raceId=1133298
