dogId,dogName,SP,resultPosition,resultBtnDistance,resultSectionalTime,resultComment,resultRunTime,resultDogWeight,winnerOr2ndName,winnerOr2ndId,resultAdjustedTime,trapNumber,raceTime,raceDate,raceId,raceNumber,raceType,raceClass,raceDistance,raceGoing,raceWinTime,meetingId,trackName,trainerName,ownerName
600001,,7/1,6,DIS,04.47,"MidTRls,SAw,CkB 3/4",,37.0,Oh Tokyo,605881,,4,18:09:00,23/08/2022,867431,,Flat,A4,500.0,10,29.60,388376,Towcester,,
600001,,7/2,3,1,04.42,"MidTRls,RanOn",30.46,36.1,Carnalea,545483,30.46,3,19:36:00,16/08/2022,865494,,Flat,A3,500.0,0,30.21,388197,Towcester,,
600001,,5/2,3,2 1/4,04.35,"MidTRls,Bmp1,RanOn",30.43,36.2,Tuftys Dora,552285,30.43,3,20:43:00,04/08/2022,862733,,Flat,A3,500.0,0,30.04,387762,Towcester,,
600001,,10/1,3,2 3/4,04.38,"MidTRls,Crd3",30.47,36.8,Pointless Priti,535236,30.57,3,17:44:00,31/07/2022,860478,,Flat,A3,500.0,10,30.22,387508,Towcester,,
600001,,9/2,4,3/4,04.54,"RlsTMid,VSAw",30.90,36.5,Salacres Liam,599983,30.80,2,18:48:00,25/07/2022,860142,,Flat,A3,500.0,-10,30.28,387473,Towcester,,
600001,,5/2,1,,04.50,"MidTRls,SAw,LdRnIn",30.65,36.7,Mr Jones,547827,30.55,3,10:07:00,16/07/2022,857845,,Flat,A3,500.0,-10,30.65,387183,Towcester,,
600001,,6/1,3,1 3/4,04.34,"Middle,ClearRun",30.21,37.1,Good Quest,587898,30.31,3,17:44:00,10/07/2022,856174,,Flat,A3,500.0,10,29.83,386901,Towcester,,
600001,,7/2,5,2 1/2,04.39,"RlsTMid,BCrd1",30.83,37.0,Avion Merlin,584945,30.93,3,10:23:00,02/07/2022,854056,,Flat,A3,500.0,10,30.05,386673,Towcester,,
600001,,9/2,4,3 3/4,04.39,"MidRls,SAw,FcdToCk3",30.63,36.5,Romeo Jet Pilot,547569,30.83,3,19:18:00,21/06/2022,851428,,Flat,A3,500.0,20,29.90,386386,Towcester,,
600001,,8/13F,1,,04.35,"MidRls,Chl&FcdTCk2,LdNrLn",30.21,36.8,Unlikely Hawk,546965,30.41,3,21:28:00,07/06/2022,847479,,Flat,A4,500.0,20,30.21,385936,Towcester,,
